1,1-N
2,1-S
3,2
4,3-E
5,3-W
6,4
7,5
8,6
9,7
10,8
11,9
12,10
13,11
14,12
15,13
16,14
17,15
18,16
19,17
20,18
21,19
22,20
23,21
24,22
25,23
26,24
27,25
28,KUDROLI BENGRE
29,KASBA BENGRE
30,THOTA BENGRE
31,BOKKAPATNA BENGE
32,PADAVU-1
33,PADAVU-2
34,PADAVU-GOVT
35,JEPPINAMOGRU
36,MAROLI
37,DEREBAIL-I
38,DEREBAIL-II
39,KANKANADY
40,KADRI-B
41,KAVOOR
42,KAVOOR-GOVT
43,MARAKADA
44,PACHANADY
45,ALAPE
46,ALAPE-GOVT
47,KUL-PADUKODI
48,KUL-BANGRAKULUR
49,KUNJATHBAIL
50,KUNJATHBAIL-G
51,PANJIMOGRU
52,PANJIMOGRU-GOVT
53,BAJAL
54,KANNUR
55,KUDUP
56,THIRUVAIL
57,SURATHKAL
58,IDYA
59,HOSABETTU
60,KATIPALLA
61,KULAI
62,PANAMBUR
63,TANNIRUBAVI
64,BYKAMPADY
